District,Year,Season,Crop,Area,Production,Weather
AKOLA,1999,Rabi,Other Kharif pulses,500,87,Overcast 
AKOLA,2004,Kharif,Groundnut,500,-91,Sunny
AKOLA,2011,Kharif,Bajra,500,220,Overcast 
AKOLA,2012,Rabi,Bajra,500,169,Overcast 
AKOLA,2012,Zaid,Other Kharif pulses,500,54,Rainy
AKOLA,2012,Rabi,Safflower,500,9,Rainy
AKOLA,2013,Zaid,Safflower,500,128,Sunny
AKOLA,2014,Kharif,Safflower,500,217,Overcast 
AMRAVATI,2010,Kharif,Castor seed,500,214,Sunny
AURANGABAD,2001,Rabi,Rice,500,156,Sunny
BEED,2000,Rabi,Small millets,500,7,Sunny
BEED,2002,Rabi,Sunflower,500,70,Rainy
BEED,2011,Rabi,Sunflower,500,-75,Overcast 
BEED,2013,Kharif,Rice,500,300,Rainy
BULDHANA,2012,Kharif,Castor seed,500,165,Sunny
CHANDRAPUR,2002,Zaid,Small millets,500,-60,Overcast 
CHANDRAPUR,2003,Rabi,Small millets,500,144,Overcast 
GADCHIROLI,2004,Zaid,Other Cereals & Millets,500,-64,Overcast 
HINGOLI,2004,Rabi,Other  Rabi pulses,500,137,Sunny
HINGOLI,2005,Kharif,Sunflower,500,136,Overcast 
HINGOLI,2008,Zaid,Rice,500,1,Sunny
JALGAON,1999,Zaid,Sunflower,500,273,Sunny
JALGAON,2005,Rabi,Sunflower,500,248,Sunny
KOLHAPUR,2009,Zaid,Sunflower,500,178,Sunny
KOLHAPUR,2010,Rabi,Sunflower,500,-23,Rainy
LATUR,1998,Kharif,Other Cereals & Millets,500,147,Overcast 
LATUR,2011,Kharif,Sunflower,500,134,Overcast 
NAGPUR,1998,Kharif,Other Cereals & Millets,500,-38,Rainy
NAGPUR,1999,Rabi,Small millets,500,-21,Rainy
NASHIK,1998,Rabi,Sunflower,500,87,Overcast 
OSMANABAD,2013,Kharif,Sunflower,500,177,Sunny
PARBHANI,2011,Zaid,Rapeseed &Mustard,500,95,Sunny
PUNE,2008,Zaid,Sunflower,500,71,Sunny
RAIGAD,2004,Rabi,Other Kharif pulses,500,-60,Sunny
RATNAGIRI,1999,Rabi,Arhar/Tur,500,-74,Overcast 
RATNAGIRI,2006,Kharif,Arhar/Tur,500,29,Overcast 
RATNAGIRI,2010,Zaid,Urad,500,83,Rainy
RATNAGIRI,2012,Zaid,Other Kharif pulses,500,38,Rainy
SATARA,1998,Rabi,Other  Rabi pulses,500,61,Overcast 
SINDHUDURG,2004,Kharif,Other Cereals & Millets,500,249,Overcast 
SOLAPUR,2002,Zaid,Rice,500,251,Rainy
SOLAPUR,2011,Rabi,Sunflower,500,65,Rainy
WARDHA,1999,Kharif,Rice,500,212,Rainy
WARDHA,2001,Kharif,Rice,500,156,Rainy
WARDHA,2001,Zaid,Urad,500,19,Rainy
WARDHA,2002,Zaid,Rice,500,38,Overcast 
WASHIM,2000,Zaid,Groundnut,500,-100,Overcast 
WASHIM,2004,Zaid,Sunflower,500,33,Sunny
WASHIM,2013,Rabi,Safflower,500,158,Overcast 
YAVATMAL,2000,Kharif,Groundnut,500,-95,Rainy
AHMEDNAGAR,2000,Kharif,Castor seed,500,124,Sunny
AHMEDNAGAR,2004,Kharif,other oilseeds,500,31,Overcast 
AKOLA,2003,Zaid,Other Kharif pulses,500,-12,Overcast 
AKOLA,2011,Zaid,Safflower,500,226,Rainy
AURANGABAD,2013,Rabi,Sunflower,500,38,Overcast 
BHANDARA,2000,Kharif,Urad,500,218,Overcast 
CHANDRAPUR,2004,Zaid,Urad,500,-85,Rainy
CHANDRAPUR,2008,Zaid,Sesamum,500,267,Overcast 
CHANDRAPUR,2008,Kharif,Rapeseed &Mustard,500,-32,Rainy
CHANDRAPUR,2012,Kharif,Sesamum,500,232,Rainy
DHULE,2001,Zaid,Castor seed,500,119,Overcast 
DHULE,2001,Zaid,Niger seed,500,275,Rainy
DHULE,2010,Rabi,Rapeseed &Mustard,500,208,Overcast 
GADCHIROLI,1998,Kharif,Sunflower,500,-65,Overcast 
GADCHIROLI,2012,Kharif,Sesamum,500,-26,Sunny
GONDIA,2004,Zaid,Other Kharif pulses,500,-12,Overcast 
GONDIA,2004,Zaid,other oilseeds,500,78,Rainy
HINGOLI,2006,Kharif,Sunflower,500,-93,Rainy
JALGAON,2002,Kharif,Sunflower,500,66,Sunny
JALGAON,2005,Kharif,Castor seed,500,243,Rainy
JALNA,2004,Rabi,Rice,500,166,Rainy
JALNA,2011,Kharif,Sesamum,500,72,Overcast 
KOLHAPUR,2011,Kharif,Sunflower,500,114,Overcast 
KOLHAPUR,2012,Zaid,Niger seed,500,103,Sunny
NAGPUR,2002,Kharif,Other  Rabi pulses,500,254,Overcast 
NAGPUR,2011,Rabi,Rapeseed &Mustard,500,-3,Rainy
NAGPUR,2013,Kharif,Linseed,500,-99,Overcast 
NANDED,2001,Zaid,Bajra,500,256,Overcast 
NANDED,2002,Zaid,Small millets,500,182,Sunny
NANDED,2009,Zaid,Maize,500,62,Sunny
NANDURBAR,2001,Kharif,Castor seed,500,-4,Sunny
NANDURBAR,2002,Rabi,Sesamum,500,-55,Rainy
NANDURBAR,2003,Kharif,Sesamum,500,4,Overcast 
NANDURBAR,2011,Kharif,Rapeseed &Mustard,500,262,Overcast 
OSMANABAD,2002,Rabi,Small millets,500,-93,Overcast 
OSMANABAD,2004,Kharif,Rapeseed &Mustard,500,2,Rainy
OSMANABAD,2014,Rabi,Sunflower,500,140,Rainy
PARBHANI,1999,Kharif,Sunflower,500,147,Sunny
PARBHANI,2003,Zaid,other oilseeds,500,-12,Rainy
PARBHANI,2004,Kharif,Rapeseed &Mustard,500,123,Overcast 
PARBHANI,2004,Zaid,Sunflower,500,139,Rainy
PARBHANI,2009,Zaid,Rapeseed &Mustard,500,40,Sunny
PARBHANI,2013,Zaid,Sunflower,500,52,Rainy
PUNE,2002,Kharif,Sunflower,500,65,Overcast 
PUNE,2004,Kharif,Other Cereals & Millets,500,-81,Overcast 
PUNE,2012,Zaid,Sunflower,500,184,Rainy
RATNAGIRI,1997,Rabi,Arhar/Tur,500,252,Rainy
RATNAGIRI,1998,Kharif,Arhar/Tur,500,44,Overcast 
RATNAGIRI,2000,Kharif,Arhar/Tur,500,192,Rainy
SATARA,1998,Rabi,Linseed,500,85,Rainy
SATARA,2011,Zaid,Sunflower,500,93,Rainy
SATARA,2011,Zaid,Rapeseed &Mustard,500,191,Overcast 
SOLAPUR,1998,Kharif,Niger seed,500,100,Overcast 
SOLAPUR,2013,Kharif,Jowar,500,88,Sunny
WARDHA,1998,Zaid,Urad,500,-94,Sunny
WARDHA,1998,Kharif,Other  Rabi pulses,500,166,Overcast 
WARDHA,1999,Zaid,Urad,500,115,Overcast 
WARDHA,2000,Kharif,Urad,500,207,Overcast 
WARDHA,2003,Kharif,Jowar,500,158,Overcast 
WARDHA,2006,Kharif,Jowar,500,-99,Sunny
WARDHA,2008,Kharif,Moong(Green Gram),500,238,Overcast 
WASHIM,1999,Kharif,Sunflower,500,-44,Overcast 
WASHIM,2004,Rabi,Rice,500,-64,Overcast 
WASHIM,2009,Kharif,Sesamum,500,108,Sunny
WASHIM,2010,Rabi,Bajra,500,49,Rainy
YAVATMAL,1998,Kharif,Other  Rabi pulses,500,60,Overcast 
YAVATMAL,2001,Kharif,Sunflower,500,249,Overcast 
YAVATMAL,2008,Kharif,Rice,500,124,Rainy
KOLHAPUR,2013,Rabi,Niger seed,500,294,Sunny
AHMEDNAGAR,2010,Rabi,Sesamum,500,240,Rainy
AHMEDNAGAR,2010,Kharif,Linseed,500,47,Sunny
AHMEDNAGAR,2011,Zaid,Sesamum,500,71,Sunny
AMRAVATI,2002,Zaid,Rapeseed &Mustard,500,-98,Rainy
AURANGABAD,2000,Rabi,Sunflower,500,75,Rainy
BEED,2014,Zaid,Sunflower,500,-26,Overcast 
BHANDARA,1998,Zaid,Sesamum,500,139,Sunny
BHANDARA,2013,Rabi,Sesamum,500,206,Sunny
BULDHANA,2000,Kharif,Castor seed,500,36,Rainy
BULDHANA,2002,Zaid,Castor seed,500,81,Rainy
CHANDRAPUR,2001,Zaid,Sesamum,500,260,Overcast 
CHANDRAPUR,2004,Rabi,Rapeseed &Mustard,500,172,Sunny
CHANDRAPUR,2011,Zaid,Sesamum,500,232,Overcast 
CHANDRAPUR,2013,Rabi,Sesamum,500,82,Sunny
GADCHIROLI,1999,Kharif,Other Kharif pulses,500,-58,Overcast 
GADCHIROLI,2008,Kharif,Rapeseed &Mustard,500,57,Sunny
GONDIA,1999,Rabi,Urad,500,288,Sunny
HINGOLI,2001,Zaid,Castor seed,500,192,Rainy
HINGOLI,2001,Zaid,Rapeseed &Mustard,500,-83,Rainy
HINGOLI,2004,Zaid,Sunflower,500,82,Overcast 
HINGOLI,2006,Zaid,Niger seed,500,-53,Overcast 
HINGOLI,2008,Zaid,Niger seed,500,238,Overcast 
HINGOLI,2010,Rabi,Linseed,500,126,Sunny
HINGOLI,2014,Zaid,Niger seed,500,19,Sunny
HINGOLI,2014,Kharif,Maize,500,-84,Sunny
JALGAON,2012,Rabi,Castor seed,500,293,Rainy
JALNA,2004,Rabi,Other Cereals & Millets,500,-35,Rainy
JALNA,2013,Zaid,Other Kharif pulses,500,-39,Rainy
KOLHAPUR,2000,Rabi,Small millets,500,95,Sunny
LATUR,2008,Rabi,Linseed,500,21,Overcast 
NAGPUR,2014,Kharif,Other Kharif pulses,500,35,Overcast 
NANDED,2001,Kharif,Linseed,500,271,Overcast 
NANDED,2002,Zaid,Sesamum,500,-56,Overcast 
NANDED,2003,Zaid,Sesamum,500,-29,Rainy
NANDED,2004,Zaid,Groundnut,500,-74,Overcast 
NANDED,2011,Zaid,Castor seed,500,-35,Overcast 
NANDED,2011,Rabi,Other Kharif pulses,500,-58,Sunny
NANDED,2012,Kharif,Niger seed,500,-9,Sunny
NANDED,2013,Kharif,Niger seed,500,68,Sunny
NANDED,2013,Zaid,Sesamum,500,92,Sunny
NANDURBAR,2008,Rabi,Sesamum,500,223,Rainy
NASHIK,1999,Kharif,Small millets,500,125,Rainy
NASHIK,2001,Kharif,Rapeseed &Mustard,500,215,Rainy
OSMANABAD,1998,Kharif,Castor seed,500,214,Rainy
OSMANABAD,2003,Rabi,Rapeseed &Mustard,500,116,Overcast 
OSMANABAD,2010,Zaid,Castor seed,500,-64,Sunny
PARBHANI,2001,Zaid,Rapeseed &Mustard,500,121,Overcast 
PARBHANI,2002,Zaid,Castor seed,500,-18,Rainy
PARBHANI,2008,Zaid,Rapeseed &Mustard,500,174,Rainy
RATNAGIRI,2001,Rabi,Other Kharif pulses,500,76,Rainy
RATNAGIRI,2012,Zaid,Arhar/Tur,500,-42,Sunny
SANGLI,2000,Kharif,Niger seed,500,-3,Overcast 
SANGLI,2001,Rabi,Niger seed,500,11,Sunny
SANGLI,2006,Kharif,Sesamum,500,23,Sunny
SANGLI,2008,Rabi,Rapeseed &Mustard,500,-14,Rainy
SATARA,2003,Rabi,Sunflower,500,-2,Sunny
SATARA,2005,Kharif,Rapeseed &Mustard,500,153,Overcast 
SATARA,2009,Kharif,Rapeseed &Mustard,500,83,Rainy
SOLAPUR,2006,Kharif,Linseed,500,-97,Rainy
SOLAPUR,2014,Rabi,Other  Rabi pulses,500,170,Rainy
THANE,2008,Rabi,Sesamum,500,-50,Rainy
THANE,2012,Kharif,Moong(Green Gram),500,-92,Rainy
WARDHA,2004,Zaid,Sesamum,500,80,Overcast 
WASHIM,2011,Rabi,Sesamum,500,143,Sunny
WASHIM,2013,Zaid,Sesamum,500,130,Rainy
WASHIM,2014,Kharif,Safflower,500,6,Sunny
YAVATMAL,2000,Zaid,Castor seed,500,87,Overcast 
YAVATMAL,2004,Rabi,Other Kharif pulses,500,281,Overcast 
YAVATMAL,2013,Zaid,Sesamum,500,-87,Overcast 
NAGPUR,2012,Zaid,Castor seed,500,213,Sunny
PARBHANI,2012,Zaid,Other Kharif pulses,500,29,Sunny
THANE,1997,Kharif,Other  Rabi pulses,500,15,Overcast 
PARBHANI,2010,Rabi,Rapeseed &Mustard,500,60,Sunny
OSMANABAD,2001,Zaid,Castor seed,500,-76,Sunny
LATUR,2014,Rabi,Linseed,500,86,Overcast 
PARBHANI,2007,Zaid,Gram,498,108,Rainy
SATARA,2007,Zaid,Rice,496,-43,Sunny
NAGPUR,2007,Rabi,Rice,496,32,Rainy
AURANGABAD,2007,Zaid,Gram,495,135,Rainy
JALNA,2007,Kharif,Arhar/Tur,494,258,Sunny
AURANGABAD,2007,Zaid,Wheat,492,63,Rainy
SATARA,1997,Kharif,Pulses total,492,270,Rainy
AKOLA,2007,Rabi,Wheat,485,28,Sunny
JALGAON,2007,Zaid,Bajra,465,-38,Overcast 
BEED,2007,Rabi,Soyabean,465,52,Sunny
NANDURBAR,2007,Rabi,Cotton(lint),461,138,Rainy
PUNE,2007,Zaid,Groundnut,461,-48,Sunny
BEED,2007,Zaid,Gram,460,292,Rainy
AHMEDNAGAR,1997,Zaid,Pulses total,451,-24,Sunny
JALGAON,2007,Zaid,Moong(Green Gram),447,87,Overcast 
LATUR,2007,Kharif,Sunflower,444,84,Overcast 
LATUR,2003,Kharif,Grapes,435,129,Sunny
OSMANABAD,2003,Zaid,Grapes,433,8,Rainy
SATARA,2007,Rabi,Wheat,433,-8,Rainy
JALNA,2007,Kharif,Moong(Green Gram),429,226,Overcast 
SOLAPUR,2003,Rabi,Tomato,428,92,Sunny
NANDED,2007,Kharif,Gram,426,46,Sunny
AKOLA,2003,Kharif,Tomato,415,217,Rainy
NASHIK,2007,Kharif,Gram,414,95,Rainy
AURANGABAD,2007,Zaid,Arhar/Tur,414,167,Rainy
BEED,2007,Rabi,Jowar,410,272,Overcast 
CHANDRAPUR,1997,Kharif,Pulses total,410,50,Rainy
WASHIM,2007,Zaid,Jowar,406,-94,Overcast 
SOLAPUR,2007,Kharif,Gram,403,285,Overcast 
AURANGABAD,2003,Kharif,Tomato,401,266,Rainy
PUNE,1999,Zaid,Cotton(lint),400,191,Rainy
RATNAGIRI,2000,Kharif,Rice,400,125,Overcast 
WARDHA,2000,Kharif,Groundnut,400,44,Sunny
KOLHAPUR,2001,Kharif,Rice,400,178,Rainy
RATNAGIRI,1998,Kharif,Rice,400,35,Rainy
AKOLA,2001,Kharif,Maize,400,234,Overcast 
GADCHIROLI,2006,Zaid,Maize,400,294,Overcast 
HINGOLI,2013,Rabi,Maize,400,270,Overcast 
NAGPUR,2001,Kharif,Maize,400,18,Rainy
NANDED,2011,Kharif,Maize,400,1,Overcast 
RATNAGIRI,2001,Rabi,Groundnut,400,33,Rainy
WASHIM,2010,Rabi,Maize,400,156,Rainy
YAVATMAL,2010,Zaid,Maize,400,-40,Sunny
KOLHAPUR,2000,Zaid,Rice,400,241,Sunny
NAGPUR,2003,Zaid,Maize,400,44,Rainy
NAGPUR,2012,Zaid,Maize,400,115,Sunny
AHMEDNAGAR,2007,Zaid,Cotton(lint),400,28,Sunny
AKOLA,1998,Rabi,Maize,400,300,Rainy
AKOLA,2010,Kharif,Maize,400,104,Overcast 
NAGPUR,2002,Rabi,Maize,400,-24,Rainy
NANDED,2010,Kharif,Maize,400,-23,Sunny
PARBHANI,2010,Kharif,Maize,400,-97,Overcast 
WARDHA,2002,Rabi,Groundnut,400,118,Sunny
AKOLA,2001,Kharif,Sunflower,400,216,Rainy
BULDHANA,2001,Kharif,Maize,400,290,Overcast 
CHANDRAPUR,2002,Rabi,Rice,400,-29,Rainy
NAGPUR,1999,Rabi,Rice,400,61,Sunny
NAGPUR,2006,Kharif,Maize,400,278,Overcast 
PUNE,2001,Zaid,Sunflower,400,46,Sunny
PUNE,2002,Rabi,Soyabean,400,229,Overcast 
SANGLI,2003,Zaid,Ragi,400,150,Rainy
SATARA,1997,Kharif,Maize,400,115,Rainy
SATARA,2002,Zaid,Maize,400,28,Sunny
YAVATMAL,2006,Kharif,Maize,400,118,Rainy
BEED,2002,Rabi,Maize,400,191,Overcast 
JALGAON,1998,Kharif,Maize,400,298,Rainy
NAGPUR,2011,Rabi,Groundnut,400,42,Overcast 
PARBHANI,1998,Zaid,Maize,400,110,Overcast 
WASHIM,2005,Rabi,Groundnut,400,112,Sunny
AKOLA,2000,Zaid,Sunflower,400,66,Overcast 
AURANGABAD,2001,Rabi,Groundnut,400,252,Overcast 
HINGOLI,2013,Rabi,Maize,400,-51,Overcast 
JALGAON,1999,Kharif,Maize,400,96,Rainy
JALGAON,2002,Zaid,Maize,400,-60,Overcast 
JALGAON,2005,Rabi,Sunflower,400,298,Overcast 
LATUR,1999,Rabi,Maize,400,-12,Rainy
LATUR,2006,Zaid,Maize,400,223,Sunny
LATUR,2011,Rabi,Maize,400,85,Overcast 
NAGPUR,2000,Kharif,Groundnut,400,175,Sunny
NAGPUR,2004,Rabi,Maize,400,-29,Sunny
NANDED,2013,Kharif,Maize,400,-43,Rainy
NANDURBAR,2006,Rabi,Maize,400,294,Sunny
NANDURBAR,2011,Rabi,Sunflower,400,72,Sunny
NASHIK,2000,Zaid,Groundnut,400,243,Rainy
PARBHANI,1999,Rabi,Maize,400,153,Sunny
PUNE,1998,Zaid,Soyabean,400,247,Overcast 
PUNE,2001,Kharif,Soyabean,400,-95,Overcast 
SANGLI,2004,Kharif,Ragi,400,244,Overcast 
SANGLI,2005,Kharif,Ragi,400,188,Sunny
SOLAPUR,2001,Zaid,Soyabean,400,155,Sunny
YAVATMAL,1999,Zaid,Sunflower,400,124,Sunny
YAVATMAL,2013,Rabi,Maize,400,119,Sunny
BULDHANA,2003,Rabi,Groundnut,400,-10,Rainy
BULDHANA,2011,Rabi,Groundnut,400,18,Overcast 
GADCHIROLI,2002,Rabi,Cotton(lint),400,235,Rainy
JALGAON,2000,Kharif,Maize,400,0,Rainy
JALGAON,2004,Rabi,Rice,400,238,Sunny
LATUR,2001,Zaid,Groundnut,400,76,Sunny
LATUR,2004,Zaid,Maize,400,221,Overcast 
NAGPUR,2005,Zaid,Groundnut,400,270,Rainy
NAGPUR,2014,Zaid,Maize,400,-76,Sunny
NANDURBAR,2001,Zaid,Ragi,400,298,Sunny
RATNAGIRI,2004,Zaid,Urad,400,17,Rainy
RATNAGIRI,2006,Zaid,Urad,400,14,Overcast 
SINDHUDURG,2004,Zaid,Urad,400,-41,Sunny
WARDHA,2001,Rabi,Groundnut,400,140,Overcast 
WASHIM,2012,Zaid,Maize,400,111,Rainy
YAVATMAL,1998,Kharif,Sunflower,400,-5,Sunny
AKOLA,2004,Kharif,Sunflower,400,253,Rainy
GADCHIROLI,2014,Rabi,Jowar,400,64,Rainy
HINGOLI,2003,Zaid,Sunflower,400,276,Overcast 
HINGOLI,2005,Rabi,Sunflower,400,296,Overcast 
HINGOLI,2006,Zaid,Sunflower,400,-84,Overcast 
JALNA,2005,Zaid,Castor seed,400,249,Overcast 
LATUR,2004,Zaid,Sunflower,400,165,Rainy
NAGPUR,2011,Kharif,Maize,400,-55,Sunny
NANDURBAR,2008,Zaid,Ragi,400,-15,Sunny
PARBHANI,2000,Kharif,Small millets,400,-92,Overcast 
PARBHANI,2006,Kharif,Sunflower,400,29,Rainy
PARBHANI,2011,Kharif,Sunflower,400,248,Sunny
PARBHANI,2012,Zaid,Sunflower,400,4,Overcast 
PARBHANI,2014,Rabi,Maize,400,115,Rainy
PUNE,1998,Zaid,Sunflower,400,-77,Sunny
PUNE,1999,Zaid,Small millets,400,16,Overcast 
PUNE,1999,Zaid,Sunflower,400,164,Overcast 
PUNE,2003,Rabi,Sunflower,400,-18,Sunny
PUNE,2014,Rabi,Safflower,400,187,Rainy
RATNAGIRI,1999,Kharif,Other Kharif pulses,400,58,Rainy
RATNAGIRI,2001,Kharif,Urad,400,24,Overcast 
RATNAGIRI,2002,Kharif,Urad,400,276,Rainy
RATNAGIRI,2003,Rabi,Urad,400,38,Rainy
RATNAGIRI,2005,Kharif,Urad,400,141,Rainy
RATNAGIRI,2008,Zaid,Urad,400,-20,Rainy
RATNAGIRI,2011,Rabi,Urad,400,283,Rainy
SINDHUDURG,2003,Kharif,Urad,400,282,Rainy
SINDHUDURG,2005,Kharif,Urad,400,-92,Overcast 
SOLAPUR,2004,Rabi,Jowar,400,-75,Overcast 
SOLAPUR,2004,Rabi,Sunflower,400,59,Rainy
SOLAPUR,2011,Rabi,Jowar,400,211,Rainy
SOLAPUR,2013,Kharif,Sunflower,400,112,Rainy
THANE,2013,Kharif,Other Kharif pulses,400,19,Sunny
WARDHA,2012,Zaid,Urad,400,189,Rainy
WASHIM,1999,Rabi,Groundnut,400,190,Sunny
WASHIM,2009,Kharif,Bajra,400,151,Rainy
WASHIM,2013,Zaid,Bajra,400,253,Sunny
WASHIM,2013,Kharif,Jowar,400,161,Rainy
YAVATMAL,2011,Kharif,Bajra,400,225,Overcast 
PARBHANI,2007,Rabi,Safflower,400,-29,Sunny
AHMEDNAGAR,2011,Zaid,Sunflower,400,150,Sunny
AKOLA,2009,Rabi,Maize,400,76,Sunny
AKOLA,2012,Rabi,Sunflower,400,242,Overcast 
AURANGABAD,2013,Kharif,Sunflower,400,-28,Sunny
BHANDARA,2003,Rabi,Jowar,400,111,Overcast 
BHANDARA,2004,Rabi,Moong(Green Gram),400,262,Sunny
BHANDARA,2010,Rabi,Sesamum,400,79,Overcast 
BHANDARA,2012,Kharif,Sesamum,400,-65,Overcast 
BULDHANA,2004,Zaid,Groundnut,400,51,Overcast 
BULDHANA,2006,Zaid,Rapeseed &Mustard,400,169,Overcast 
BULDHANA,2010,Rabi,Castor seed,400,67,Overcast 
BULDHANA,2014,Rabi,Safflower,400,-68,Overcast 
CHANDRAPUR,1998,Kharif,Sunflower,400,101,Sunny
CHANDRAPUR,2008,Kharif,Urad,400,276,Sunny
CHANDRAPUR,2010,Kharif,Sesamum,400,295,Sunny
CHANDRAPUR,2013,Rabi,Other Kharif pulses,400,12,Rainy
DHULE,2012,Kharif,Other  Rabi pulses,400,120,Overcast 
GADCHIROLI,2010,Kharif,Moong(Green Gram),400,180,Sunny
GONDIA,1999,Zaid,Bajra,400,223,Rainy
GONDIA,2000,Zaid,Urad,400,88,Sunny
HINGOLI,2000,Zaid,Bajra,400,196,Sunny
HINGOLI,2001,Kharif,Bajra,400,65,Rainy
HINGOLI,2002,Zaid,Small millets,400,258,Overcast 
HINGOLI,2003,Kharif,Small millets,400,-79,Overcast 
HINGOLI,2011,Kharif,Other  Rabi pulses,400,135,Overcast 
JALGAON,1998,Kharif,Castor seed,400,99,Rainy
JALGAON,2001,Kharif,Castor seed,400,-52,Sunny
JALGAON,2004,Zaid,Sunflower,400,62,Sunny
JALGAON,2004,Rabi,Sunflower,400,-48,Rainy
JALGAON,2009,Rabi,Rapeseed &Mustard,400,155,Overcast 
JALGAON,2013,Zaid,Sunflower,400,278,Rainy
JALNA,2001,Zaid,Other  Rabi pulses,400,13,Rainy
KOLHAPUR,2013,Zaid,Arhar/Tur,400,-34,Overcast 
LATUR,2004,Rabi,Linseed,400,-88,Rainy
NAGPUR,2004,Kharif,Rapeseed &Mustard,400,273,Sunny
NAGPUR,2009,Rabi,Sunflower,400,236,Overcast 
NANDED,1999,Zaid,Groundnut,400,9,Rainy
NANDED,2000,Rabi,Groundnut,400,-53,Sunny
NANDED,2004,Rabi,Linseed,400,178,Overcast 
NANDED,2005,Rabi,Groundnut,400,270,Sunny
NANDED,2006,Kharif,Groundnut,400,123,Rainy
NANDURBAR,2000,Kharif,Ragi,400,72,Sunny
NANDURBAR,2001,Kharif,Small millets,400,-32,Overcast 
NANDURBAR,2002,Zaid,Sunflower,400,-62,Overcast 
NANDURBAR,2004,Zaid,Safflower,400,45,Sunny
NANDURBAR,2005,Zaid,Sunflower,400,141,Rainy
NANDURBAR,2006,Rabi,Sunflower,400,253,Rainy
NANDURBAR,2006,Kharif,Sunflower,400,226,Rainy
NANDURBAR,2008,Rabi,Castor seed,400,-38,Sunny
NANDURBAR,2009,Rabi,Ragi,400,59,Sunny
NANDURBAR,2009,Zaid,Sunflower,400,105,Overcast 
NANDURBAR,2010,Rabi,Ragi,400,-69,Overcast 
NASHIK,1999,Kharif,Sunflower,400,208,Rainy
OSMANABAD,2004,Rabi,Other Cereals & Millets,400,272,Rainy
PARBHANI,2002,Rabi,Small millets,400,37,Overcast 
PARBHANI,2012,Zaid,Maize,400,147,Sunny
PUNE,2000,Kharif,Sunflower,400,-14,Overcast 
RAIGAD,1998,Rabi,Sesamum,400,135,Sunny
RATNAGIRI,2000,Rabi,Urad,400,200,Rainy
RATNAGIRI,2005,Zaid,Moong(Green Gram),400,-47,Rainy
RATNAGIRI,2009,Zaid,Urad,400,229,Sunny
SANGLI,2001,Kharif,Rapeseed &Mustard,400,-97,Sunny
SANGLI,2002,Zaid,Small millets,400,82,Rainy
SANGLI,2006,Rabi,Rapeseed &Mustard,400,-67,Overcast 
SANGLI,2010,Zaid,Rapeseed &Mustard,400,-63,Overcast 
SATARA,2009,Zaid,Sunflower,400,233,Rainy
SINDHUDURG,2003,Rabi,Small millets,400,147,Rainy
SINDHUDURG,2004,Rabi,Other Cereals & Millets,400,130,Overcast 
SINDHUDURG,2012,Kharif,Other Kharif pulses,400,239,Overcast 
SOLAPUR,2006,Kharif,Jowar,400,17,Sunny
SOLAPUR,2006,Zaid,Sunflower,400,-68,Overcast 
SOLAPUR,2010,Kharif,Jowar,400,247,Rainy
SOLAPUR,2011,Rabi,Other  Rabi pulses,400,-28,Overcast 
SOLAPUR,2012,Kharif,Sunflower,400,-29,Rainy
THANE,2011,Kharif,Sesamum,400,-63,Overcast 
THANE,2014,Rabi,Arhar/Tur,400,253,Rainy
WASHIM,2000,Zaid,Groundnut,400,-55,Overcast 
WASHIM,2000,Rabi,Sunflower,400,-27,Overcast 
WASHIM,2001,Rabi,Small millets,400,59,Sunny
WASHIM,2008,Zaid,Bajra,400,65,Overcast 
WASHIM,2014,Rabi,Other Kharif pulses,400,272,Rainy
YAVATMAL,1999,Rabi,Small millets,400,-97,Overcast 
YAVATMAL,1999,Kharif,Other  Rabi pulses,400,167,Sunny
YAVATMAL,1999,Rabi,Sunflower,400,-52,Sunny
YAVATMAL,2000,Kharif,Sunflower,400,-71,Sunny
YAVATMAL,2001,Zaid,Sunflower,400,259,Overcast 
SOLAPUR,2010,Rabi,Linseed,400,265,Rainy
AHMEDNAGAR,1998,Zaid,Castor seed,400,47,Sunny
AHMEDNAGAR,1998,Zaid,Sesamum,400,189,Sunny
AHMEDNAGAR,1999,Rabi,Sesamum,400,83,Rainy
AHMEDNAGAR,2000,Rabi,Sesamum,400,-2,Sunny
AHMEDNAGAR,2005,Rabi,Castor seed,400,183,Sunny
AKOLA,2004,Kharif,Other Kharif pulses,400,30,Sunny
AKOLA,2006,Zaid,Rapeseed &Mustard,400,82,Sunny
AMRAVATI,1998,Zaid,Niger seed,400,285,Rainy
AMRAVATI,1998,Rabi,Rapeseed &Mustard,400,-56,Sunny
AMRAVATI,1999,Rabi,Castor seed,400,-9,Overcast 
AURANGABAD,1998,Rabi,Niger seed,400,122,Rainy
AURANGABAD,1999,Zaid,Castor seed,400,-27,Sunny
AURANGABAD,2000,Zaid,Rapeseed &Mustard,400,153,Overcast 
AURANGABAD,2001,Kharif,Niger seed,400,240,Sunny
AURANGABAD,2002,Zaid,Niger seed,400,187,Rainy
AURANGABAD,2003,Zaid,Niger seed,400,128,Rainy
AURANGABAD,2004,Rabi,Niger seed,400,279,Sunny
AURANGABAD,2005,Zaid,Niger seed,400,105,Overcast 
AURANGABAD,2006,Kharif,Castor seed,400,186,Rainy
AURANGABAD,2006,Kharif,Niger seed,400,20,Overcast 
AURANGABAD,2010,Rabi,Linseed,400,128,Overcast 
AURANGABAD,2012,Zaid,Sunflower,400,256,Rainy
